"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.949604667E0,-1.534459076E0,-7.529342651E-2,1.169458099E1,1.179506076E1
1.959551667E0,-1.590442657E0,-1.725910950E-1,1.174846893E1,1.185688904E1
1.969499667E0,-1.644480286E0,-1.728904724E-1,1.151121231E1,1.162936866E1
1.979447667E0,-1.734143829E0,-6.765930176E-2,1.105885300E1,1.119419770E1
1.989394667E0,-1.781295776E0,1.553768921E-1,1.062101349E1,1.077047279E1
1.999342667E0,-1.698667603E0,3.887416077E-1,1.039453445E1,1.053958909E1
2.009290667E0,-1.551972656E0,5.510041809E-1,1.028136978E1,1.041243436E1
2.019238667E0,-1.424138489E0,6.345304871E-1,1.023122406E1,1.034933549E1
2.029185667E0,-1.414109344E0,6.535409546E-1,1.019739441E1,1.031570035E1
2.039133667E0,-1.456471252E0,6.514453125E-1,1.012763947E1,1.025254947E1
2.049081667E0,-1.477128296E0,6.318360901E-1,9.946665802E0,1.007557866E1
2.059028667E0,-1.485361176E0,6.619235229E-1,9.709259491E0,9.844498994E0
2.068976667E0,-1.469494171E0,7.710466003E-1,9.518106995E0,9.661691712E0
2.078924667E0,-1.398841095E0,9.202862549E-1,9.373208313E0,9.521592161E0
2.088872667E0,-1.341210938E0,1.056502991E0,9.168583832E0,9.326198305E0
2.098819667E0,-1.344653778E0,1.140328674E0,9.031468964E0,9.201949517E0
2.108767667E0,-1.459914093E0,1.215173035E0,8.933572540E0,9.133275042E0
2.118715667E0,-1.610650635E0,1.259780273E0,8.824150085E0,9.057972540E0
2.128663667E0,-1.676363983E0,1.355131989E0,8.769364014E0,9.030411071E0
2.138610667E0,-1.616488495E0,1.479673004E0,8.843908997E0,9.111377151E0
2.148558667E0,-1.445993042E0,1.623972931E0,8.934021606E0,9.194831484E0
2.158506667E0,-1.338366852E0,1.687141571E0,8.983269196E0,9.237791833E0
2.168453667E0,-1.375789032E0,1.647923126E0,8.968300323E0,9.221651521E0
2.178401667E0,-1.486858063E0,1.524130554E0,8.932973785E0,9.183231539E0
